U_ID,Name,GradeLevel_id,Subject_id,StartDate,EndDate,enabled
1437,Getting to know my teacher and a new environment.,3,12,2013-09-09,2013-10-10,1
1063,Foundations of Art,4,1,2011-09-08,2011-09-30,1
1089,We Belong Together: Expressing Moods and Feelings,4,1,2014-09-16,2013-10-01,1
1464,Egyptian Art,4,1,2014-02-10,2014-03-04,1
1492,Mechanimals,4,1,2013-12-04,2013-12-11,1
1494,Paul Klee's Cat and Bird,4,1,2014-01-14,2014-01-28,1
1495,Faith Ringgold,4,1,2014-02-04,2014-02-11,1
1631,People and Places: Seeing Details and  Actions,4,1,2013-10-21,2014-12-19,1
1633,Colorful Stories: Color and Imagination,4,1,2014-01-07,2014-03-11,1
1634,Colorful Stories: Color and Imagination,4,1,2014-02-18,2014-04-01,1
1635,Colorful Stories: Color and Imagination,4,1,2014-02-18,2014-04-01,1
1642,Sequencing and Books,4,1,2014-04-01,2014-04-29,1
1645,Looking Around Us: Seeing Our World ,4,1,2013-09-09,2013-10-14,1
1665,Getting Ideas: Art and Nature,4,1,2014-02-03,2014-06-09,1
1356,Alliteration,4,3,2013-09-01,2014-06-01,1
1368,Personification,4,3,2013-09-01,2014-06-01,1
1430,writing process--What do I Write?,4,3,2013-09-09,2014-06-01,1
1555,Opinion Writing,4,3,2014-02-03,2014-02-14,1
1569,Opinion Writing,4,3,2014-02-03,2014-02-14,1
1572,Using transitional words in Writing,4,3,2014-01-07,2014-01-21,1
1586,Writing a Friendly Letter,4,3,2014-02-11,2014-06-01,1
1587,Character Traits,4,3,2013-09-01,2014-06-01,1
1271,Unit 6 Developing Fact Power,4,6,2013-01-21,2013-02-11,1
1073,Intro. to Music Literacy: Beat/Rhythm,4,7,2011-09-08,2011-12-16,1
1651,Music Literacy: Pitch and Solfege,4,7,2013-10-01,2013-12-20,1
1652,"Instruments: Rhythm, Orff, & Boomwhackers",4,7,2013-11-04,2014-04-30,1
1653,The 5-line Staff,4,7,2013-11-11,2014-04-30,1
1654,1st Grade Music End of Year Review,4,7,2014-05-05,2014-06-06,1
1222,Christmas Games,4,8,2013-12-02,2013-12-20,1
1039,Solids & Liquids: Bits and Pieces,4,10,2011-12-01,2011-12-09,1
1040,Liquids,4,10,2011-11-03,2011-11-24,1
1041,Solids,4,10,2011-10-06,2011-10-28,1
1117,Solids,4,10,2012-11-01,2011-11-30,1
1260,Insects,4,10,2013-04-01,2013-05-17,1
1038,The Community,4,11,2011-09-01,2011-10-31,1
1365,Geography,4,11,2013-09-01,2014-06-01,1
